id,url,domain,tld,domain_type,text_length,source_file,chinese_ratio,has_chinese
CC-MAIN-20240612140424-20240612170424-00000.warc_228,http://a-m-shagalov.ru/load/fonoteka/cerebrjanyj_vek/blok_aleksandr_aleksandrovich_chitaet_stikhotvorenie_o_doblestjakh_o_podvigakh_o_slave/2-1-0-11,a-m-shagalov.ru,ru,其他,5118,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_231,http://a406.dau862.com/,a406.dau862.com,com,商业,1107,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.4869015356820235,True
CC-MAIN-20240612140424-20240612170424-00000.warc_234,http://aapkiawaz.dk/2020/02/%DA%A9%D9%88%D8%A2%D8%B1%DA%88%DB%8C%D9%86%DB%8C%D9%B9%D8%B1-%D9%BE%DB%8C-%D9%B9%DB%8C-%D8%A2%D8%A6%DB%8C-%D9%81%D8%B1%D8%A7%D9%86%D8%B3-%D8%B4%DB%8C%D8%AE-%D9%86%D8%B9%D9%85%D8%AA-%D8%A7%D9%84%D9%84/,aapkiawaz.dk,dk,其他,1841,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_237,http://abbank.olaciti.com/chi-nhanh/son-la,abbank.olaciti.com,com,商业,1636,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_240,http://abbe.net.au/products/paper-drills-and-heavy-duty-punches/,abbe.net.au,au,网络,542,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_243,http://abergkampwonderland.co.uk/tag/group-winners/,abergkampwonderland.co.uk,uk,其他,4485,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_246,http://abhinavpmp.com/2015/10/28/finalized-book-contract-on-itil-foundation/,abhinavpmp.com,com,商业,5979,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_249,http://abkhaznews.ru/2015/kvarcheliia-vlast-i-oppoziciia-doljny-predmetno-obsyjdat-problemy-2/,abkhaznews.ru,ru,其他,7115,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_252,http://abkhaznews.ru/2015/putin-uvolil-poryadka-20-generalov/,abkhaznews.ru,ru,其他,5262,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_255,http://absolutasger.dk/?p=1536,absolutasger.dk,dk,其他,1341,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_258,http://absolutemediagroup.net/space/pghero_space_stats?schema=public,absolutemediagroup.net,net,网络,142,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_261,http://absolwent.2lo.elblag.pl/?start=50,absolwent.2lo.elblag.pl,pl,其他,12272,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_264,http://academyformen.com.au/,academyformen.com.au,au,商业,2861,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_267,http://accespoint.online.fr/index.php/site/details/2042/assurance-auto,accespoint.online.fr,fr,其他,3227,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_276,http://acorn.hiroimon.com/newpage46-6.htm,acorn.hiroimon.com,com,商业,158,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.04430379746835443,False
CC-MAIN-20240612140424-20240612170424-00000.warc_279,http://adastrapacific.co.uk/store/other-products/shop/filipino/pancit-noodles/,adastrapacific.co.uk,uk,其他,3464,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_282,http://aditizuzka.cz/test/,aditizuzka.cz,cz,其他,190,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_285,http://adomecek.cz/index.php?route=account/login,adomecek.cz,cz,其他,1466,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_288,http://adtciclomotores.co/,adtciclomotores.co,co,其他,38,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_291,http://advancesaraswati.com/detail/tu-solution-bbs-2nd-year-cost-management-accounting-nepali,advancesaraswati.com,com,商业,9515,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_294,http://advstocktraders.com/ktory-program-pomoze-w-wypelnieniu-corocznego-formularza-pit-co-w-ten-sposob-zyskamy/,advstocktraders.com,com,商业,3496,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_297,http://afjindia.com/contact/,afjindia.com,com,商业,633,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_300,http://africultures.com/personnes/?no=26135,africultures.com,com,商业,18273,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_303,http://afrocolombianosvisibles.blogspot.com/2012/01/silvio-emiliano-garces-mosquera.html,afrocolombianosvisibles.blogspot.com,com,商业,37620,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_306,http://aftabbafgh.ir/6142/test/,aftabbafgh.ir,ir,其他,2691,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_309,http://agibiteca.blogspot.com/2012/09/revista-topolino-uma-historia-do-ranger.html,agibiteca.blogspot.com,com,商业,8750,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_312,http://agora.ex.nii.ac.jp/digital-typhoon/geojson/wnp/202104.en.json,agora.ex.nii.ac.jp,jp,其他,2628,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
CC-MAIN-20240612140424-20240612170424-00000.warc_315,http://agr.ku.ac.th/newweb/index.php/th/2014-07-16-08-16-01/foacalendar/month.calendar/2017/12/30/34,agr.ku.ac.th,th,其他,1503,CC-MAIN-20240612140424-20240612170424-00000.warc.gz,0.0,False
